
PACKET HDR=850, RSSI=-83, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7697155

PACKET HDR=850, RSSI=-83, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7697155

PACKET HDR=850, RSSI=-83, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7697155

PACKET HDR=850, RSSI=-83, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7697155

PACKET HDR=850, RSSI=-84, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7697155

PACKET HDR=50, RSSI=-83, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7738662

PACKET HDR=850, RSSI=-84, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7752608

PACKET HDR=850, RSSI=-84, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7755740

PACKET HDR=850, RSSI=-82, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7755740

PACKET HDR=850, RSSI=-85, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7761374

PACKET HDR=850, RSSI=-83, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7761374

PACKET HDR=850, RSSI=-83, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7761374

PACKET HDR=850, RSSI=-83, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7761374

PACKET HDR=850, RSSI=-83, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7761374

PACKET HDR=850, RSSI=-97, DEST=ac:ee:9e:1c:48:9b, SRC =78:29:ed:90:1a:60, SSID=78:29:ed:90:1a:60, TIME= 8029097

PACKET HDR=850, RSSI=-93, DEST=ac:ee:9e:1c:48:9b, SRC =78:29:ed:90:1a:60, SSID=78:29:ed:90:1a:60, TIME= 8079862

PACKET HDR=40, RSSI=-91, DEST=ff:ff:ff:ff:ff:ff, SRC =6c:ad:f8:a9:bc:41, SSID=ff:ff:ff:ff:ff:ff, TIME= 8628914

PACKET HDR=40, RSSI=-91, DEST=ff:ff:ff:ff:ff:ff, SRC =6c:ad:f8:a9:bc:41, SSID=ff:ff:ff:ff:ff:ff, TIME= 8628914

PACKET HDR=40, RSSI=-89, DEST=ff:ff:ff:ff:ff:ff, SRC =6c:ad:f8:a9:bc:41, SSID=ff:ff:ff:ff:ff:ff, TIME= 8628914

PACKET HDR=40, RSSI=-91, DEST=ff:ff:ff:ff:ff:ff, SRC =6c:ad:f8:a9:bc:41, SSID=ff:ff:ff:ff:ff:ff, TIME= 8628914

PACKET HDR=40, RSSI=-88, DEST=ff:ff:ff:ff:ff:ff, SRC =6c:ad:f8:a9:bc:41, SSID=ff:ff:ff:ff:ff:ff, TIME= 8628914

PACKET HDR=40, RSSI=-90, DEST=ff:ff:ff:ff:ff:ff, SRC =6c:ad:f8:a9:bc:41, SSID=ff:ff:ff:ff:ff:ff, TIME= 8628914

PACKET HDR=40, RSSI=-92, DEST=ff:ff:ff:ff:ff:ff, SRC =6c:ad:f8:a9:bc:41, SSID=ff:ff:ff:ff:ff:ff, TIME= 8628914

PACKET HDR=40, RSSI=-91, DEST=ff:ff:ff:ff:ff:ff, SRC =6c:ad:f8:a9:bc:41, SSID=ff:ff:ff:ff:ff:ff, TIME= 8628914

PACKET HDR=850, RSSI=-93, DEST=00:18:de:da:4a:78, SRC =78:29:ed:90:1a:60, SSID=78:29:ed:90:1a:60, TIME= 9015151

PACKET HDR=850, RSSI=-93, DEST=00:18:de:da:4a:78, SRC =78:29:ed:90:1a:60, SSID=78:29:ed:90:1a:60, TIME= 9015151

PACKET HDR=50, RSSI=-94, DEST=00:18:de:da:4a:78, SRC =62:29:ed:90:1a:61, SSID=62:29:ed:90:1a:61, TIME= 9015151

PACKET HDR=850, RSSI=-94, DEST=00:18:de:da:4a:78, SRC =62:29:ed:90:1a:61, SSID=62:29:ed:90:1a:61, TIME= 9015151
